Source,Target,Weight
Shangri-La,Lavender,15
Tiong Bahru,Woodlands West,3
Reservoir View,Frankel,4
Bayshore,Senoko West,5
Coronation Road,Tai Seng,8
Paterson,Bayfront Subzone,2
Bangkit,Tiong Bahru Station,7
Kangkar,Senoko West,9
Pandan,Simei,8
Tampines East,People's Park,1
Kranji,Wenya,4
Teban Gardens,Geylang Bahru,3
Nature Reserve,Coronation Road,13
Farrer Court,Hillview,6
Singapore General Hospital,Gombak,10
Nassim,Woodleigh,13
Paya Lebar East,Tuas Bay,1
Mountbatten,Faber,2
Straits View,Robertson Quay,2
Gombak,Pei Chun,1
Joo Koon,Holland Road,4
Clifford Pier,Northland,4
Kampong Bugis,Xilin,5
Potong Pasir,Gombak,4
Tyersall,Woodlands Regional Centre,19
Telok Blangah Rise,Goodwood Park,2
Lakeside,Lorong Halus North,2
Farrer Court,Bukit Ho Swee,7
Loyang East,Lorong Halus,2
Leedon Park,Crawford,3
Pang Sua,Sembawang Central,14
Tuas Promenade,Simei,13
Chatsworth,Hougang West,8
Tagore,Boon Keng,4
Marina South,Bukit Ho Swee,7
Anak Bukit,Kampong Bugis,4
Geylang Bahru,International Business Park,5
Nature Reserve,Cairnhill,3
Yishun South,Coronation Road,5
Kian Teck,Tiong Bahru Station,18
Lavender,Teck Whye,10
One North,Tampines North,3
Kovan,Taman Jurong,4
Admiralty,Western Water Catchment,14
Central Water Catchment,Clarke Quay,9
Clementi West,Gali Batu,6
Senoko West,Serangoon North,6
Frankel,Faber,3
Paya Lebar West,Waterway East,2
Siglap,Yishun Central,3
Tanglin,Pasir Ris West,2
East Coast,Macpherson,1
Leonie Hill,Kim Keat,1
Redhill,Samulun,3
Trafalgar,Tuas Bay,3
Clarke Quay,Pasir Ris Drive,4
Punggol Field,Jurong Island and Bukom,6
Anson,Matilda,10
Bencoolen,International Business Park,4
Seletar Aerospace Park,Phillip,2
Yishun East,Istana Negara,11
Pei Chun,Kampong Bugis,6
City Terminals,Sengkang West,3
Tanjong Pagar,Tanglin,3
Compassvale,Tiong Bahru Station,10
City Hall,Tanglin,12
Frankel,Greenwood Park,4
Kallang Bahru,Henderson Hill,13
Hong Kah,Mount Pleasant,10
Yio Chu Kang West,Clementi Central,4
Bayfront Subzone,Dover,5
Trafalgar,Sunset Way,5
Ghim Moh,Lorong Chuan,1
Mei Chin,Northshore,1
Taman Jurong,Bukit Batok East,13
Lorong Halus North,Pulau Punggol Timor,5
Trafalgar,Tengeh,4
Braddell,Swiss Club,6
Admiralty,Sembawang Central,9
Mandai Estate,Tiong Bahru,1
Bencoolen,Lorong Chuan,9
Yishun Central,Telok Blangah Drive,2
Chinatown,Woodleigh,3
Hong Kah,Yishun South,9
Taman Jurong,Brickworks,6
Boon Lay Place,Katong,2
Newton Circus,Yew Tee,10
Cecil,Waterway East,5
Mount Pleasant,Potong Pasir,2
Malcolm,Guilin,5
Changi West,Paya Lebar East,4
Bayfront Subzone,Woodlands South,7
Cheng San,Katong,3
Serangoon Garden,Sembawang East,5
Holland Drive,West Coast,2
Pasir Ris Park,Goodwood Park,3
Gul Circle,Yio Chu Kang East,2
Clementi Central,Sennett,2
Gul Circle,Boon Teck,3
Bukit Merah,Bayshore,3
Trafalgar,Marina East,1
Braddell,Leedon Park,7
Braddell,Yunnan,10
Tanglin,Tampines North,1
Senoko North,Tanglin,3
Hong Kah North,Paterson,1
International Business Park,Turf Club,1
Springleaf,Penjuru Crescent,2
Yishun Central,Hillview,1
Pandan,Orange Grove,3
Fajar,Bendemeer,5
Choa Chu Kang North,Rivervale,6
Coronation Road,Saujana,6
Hougang East,Ridout,4
Orange Grove,Trafalgar,8
Siglap,Pasir Ris Wafer Fab Park,1
Singapore Polytechnic,West Coast,5
Kampong Tiong Bahru,Bukit Batok East,2
Yishun Central,Bukit Ho Swee,1
Kampong Tiong Bahru,Joo Koon,5
Central Subzone,Pulau Punggol Timor,7
Mackenzie,Paterson,1
Singapore Polytechnic,Mount Emily,1
Ulu Pandan,Mackenzie,3
Holland Road,Bras Basah,4
Loyang West,Paya Lebar North,5
Rochor Canal,Jurong River,1
Safti,Shangri-La,3
Boon Teck,Lakeside,1
Yunnan,Tampines North,4
Turf Club,Bedok Reservoir,1
Kampong Tiong Bahru,Sembawang Springs,1
Bukit Batok West,Lorong Chuan,4
Tengah,Tuas North,4
Pulau Punggol Timor,Kampong Bugis,2
Shangri-La,One Tree Hill,4
Townsville,Paya Lebar East,2
Henderson Hill,Woodleigh,2
Sengkang West,Toh Guan,1
Coronation Road,Jurong Island and Bukom,1
Kampong Ubi,Paya Lebar East,4
Istana Negara,Orange Grove,3
Tanjong Pagar,Kallang Way,6
Woodlands South,Saujana,2
Mandai East,Crawford,1
Senja,Paya Lebar East,1
Dairy Farm,Shipyard,1
Katong,Pasir Ris Wafer Fab Park,2
Simpang North,North Coast,1
One Tree Hill,Greenwood Park,1
Pasir Ris Central,Clifford Pier,1
Katong,Anson,4
Sembawang Central,Marina East,1
Chin Bee,The Wharves,2
Cheng San,Paterson,1
Loyang East,City Terminals,1
Faber,Yio Chu Kang East,1
Lorong Halus North,Paya Lebar West,1
Hougang Central,Sembawang Springs,1
Bedok Reservoir,Springleaf,2
Bayshore,Coronation Road,1
Penjuru Crescent,Pearl's Hill,2
Woodlands West,Tengah,1
Bukit Ho Swee,Turf Club,1
Dairy Farm,Senoko West,2
Sembawang Hills,Woodlands West,1
Marina South,Clementi West,2
Faber,Kent Ridge,4
Sengkang West,Potong Pasir,2
Toa Payoh Central,Mandai West,1
Lorong 8 Toa Payoh,People's Park,1
The Wharves,Crawford,1
Serangoon North Ind Estate,Institution Hill,3
Holland Drive,Mount Emily,1
Siglap,Malcolm,2
Faber,Boon Teck,1
Oxley,Somerset,1
Swiss Club,Pasir Ris West,2
Lorong Halus,Pasir Ris Park,1
Turf Club,City Terminals,2
Sennett,Holland Drive,1
Yishun Central,Fajar,1
Turf Club,Siglap,1
Loyang East,Siglap,1
Yishun Central,Shangri-La,1
Western Water Catchment,People's Park,1
Fajar,Henderson Hill,1
Hillcrest,Lower Seletar,1
Kallang Bahru,Marina East (MP),1
Farrer Court,Clementi West,1
Sengkang Town Centre,Dhoby Ghaut,124
One Tree Hill,Nature Reserve,7
Pei Chun,Boulevard,23
Defu Industrial Park,Kampong Ubi,107
Bukit Ho Swee,Farrer Park,16
Loyang East,Yishun South,4
Central Subzone,Sengkang Town Centre,72
Yishun South,Changi Airport,74
Bendemeer,Maritime Square,91
Keat Hong,Jurong West Central,158
Bencoolen,Lavender,38
Marymount,Cecil,22
Chinatown,Waterway East,20
Kim Keat,Crawford,6
Anak Bukit,Boulevard,87
One North,Serangoon Garden,33
Teban Gardens,Taman Jurong,98
Pearl's Hill,Kampong Java,64
Pulau Punggol Timor,Woodgrove,5
Somerset,Bukit Merah,9
Paya Lebar North,Northland,10
Jelebu,Marina Centre,38
Marina Centre,Lorong Ah Soo,56
Toh Guan,Western Water Catchment,66
Plab,Plab,29
Greenwood Park,Senoko South,32
Kampong Java,Bukit Batok South,15
Nee Soon,Nee Soon,56
Sennett,Kallang Way,11
North Coast,Kallang Way,137
Cheng San,Margaret Drive,7
Woodlands East,Senoko North,161
Dairy Farm,Gali Batu,20
Sentosa,Marina East (MP),4
Jelebu,Maritime Square,58
Tyersall,Singapore General Hospital,10
Matilda,Tampines East,154
Anak Bukit,Woodgrove,183
Marina Centre,Changi Airport,77
City Terminals,Tanjong Pagar,13
Waterway East,Pasir Panjang 1,11
Bayfront Subzone,Jelebu,22
Raffles Place,Kembangan,153
Joo Koon,Tiong Bahru Station,12
Holland Road,Coronation Road,63
Kembangan,Pasir Ris West,36
Sentosa,Henderson Hill,16
Benoi Sector,Joo Koon,118
Saujana,Midview,4
Kian Teck,Gul Circle,83
Bishan East,Tanjong Rhu,46
City Terminals,Senoko South,9
Siglap,Kian Teck,3
Nassim,Sentosa,17
Geylang Bahru,Lavender,76
Anak Bukit,Hougang Central,23
Central Subzone,Leonie Hill,5
Tanglin Halt,Bedok North,16
Anak Bukit,Kampong Tiong Bahru,9
Dairy Farm,Changi Airport,29
Geylang Bahru,Lorong Ah Soo,22
Tiong Bahru Station,Alexandra Hill,100
Kebun Bahru,Lavender,20
Swiss Club,Serangoon Garden,17
Chinatown,Sentosa,45
Singapore Polytechnic,Northland,26
Boulevard,Bedok Reservoir,29
Bugis,City Terminals,9
Mei Chin,Kampong Ubi,26
Margaret Drive,Kaki Bukit,31
Tengeh,Samulun,14
Pasir Ris Central,Compassvale,7
Upper Thomson,Matilda,50
Robertson Quay,Anak Bukit,7
Nature Reserve,Gali Batu,36
Serangoon Garden,Tiong Bahru Station,21
Yishun West,Ghim Moh,11
National University of S'pore,Tiong Bahru Station,25
Woodlands East,Pandan,29
Sentosa,Bendemeer,38
Cheng San,Sembawang Straits,3
Hougang West,Crawford,30
Boon Keng,Kovan,11
Peng Siang,Toh Tuck,21
Kembangan,Tampines North,34
Singapore General Hospital,Trafalgar,37
Tuas North,Penjuru Crescent,21
Woodlands East,Hillcrest,23
Yishun East,Yishun East,106
Admiralty,Sembawang Springs,26
Western Water Catchment,Kallang Bahru,24
Kampong Bugis,Tai Seng,12
Tengah,Alexandra Hill,7
Leonie Hill,Pearl's Hill,23
Sunset Way,Boon Keng,2
Senoko North,Lorong Halus,5
Kallang Way,Mandai East,14
Farrer Park,China Square,29
Gali Batu,Choa Chu Kang North,145
One North,Orange Grove,13
Rivervale,Farrer Park,77
Paterson,Senoko South,1
Depot Road,City Terminals,16
Potong Pasir,Trafalgar,25
Ang Mo Kio Town Centre,Changi Point,2
Tanjong Rhu,Seletar Hills,3
Tukang,Senoko West,7
Xilin,Sembawang Central,54
Gali Batu,Dunearn,5
Everton Park,Jurong Gateway,23
Keat Hong,Townsville,6
Alexandra Hill,Senja,12
Wenya,Bedok North,5
Tanjong Rhu,Boat Quay,37
Saujana,Balestier,23
Tagore,Senoko West,41
Serangoon Central,Boon Teck,45
Bidadari,Kallang Bahru,7
Mackenzie,Seletar Aerospace Park,5
Boon Lay Place,Central Water Catchment,15
Senoko West,Trafalgar,15
Marina Centre,Mackenzie,30
Flora Drive,Matilda,4
Boulevard,Teck Whye,38
Samulun,Jurong Gateway,27
Tyersall,Punggol Field,4
Sembawang Springs,Jurong West Central,7
Fort Canning,Farrer Court,12
Bencoolen,Lorong Ah Soo,23
Kallang Way,Benoi Sector,23
Toa Payoh Central,Woodlands West,26
Upper Thomson,Ulu Pandan,12
Toh Tuck,Boat Quay,4
Pulau Punggol Timor,Kampong Tiong Bahru,2
Central Subzone,Telok Blangah Rise,8
Joo Seng,Lower Seletar,21
Geylang East,Woodleigh,32
Hillcrest,Lorong Halus,2
Bedok North,Hougang West,70
Gali Batu,Kampong Java,12
Serangoon Central,Bencoolen,29
Boon Teck,Tai Seng,17
Bukit Batok East,Joo Seng,4
North-Eastern Islands,Kallang Bahru,3
Senoko South,Bishan East,38
International Business Park,Farrer Park,13
Gombak,Bencoolen,9
Selegie,Sembawang Central,3
Woodlands East,Tuas Promenade,29
Anchorvale,Alexandra Hill,15
Ulu Pandan,Holland Road,89
Rochor Canal,Changi Bay,1
Ridout,Jurong West Central,13
Bayfront Subzone,Pasir Ris Drive,13
Kebun Bahru,Lorong Ah Soo,14
Jurong Island and Bukom,Kent Ridge,4
Chatsworth,Jurong Island and Bukom,3
Yuhua West,Telok Blangah Rise,4
Balestier,Central Subzone,73
Pearl's Hill,Kranji,8
Bukit Batok West,Changi Airport,28
Moulmein,Tagore,12
Pasir Ris Wafer Fab Park,Frankel,6
Kampong Java,Fernvale,45
Tampines East,Goodwood Park,11
Toa Payoh Central,Senoko South,31
Kampong Java,Hong Kah North,12
Alexandra North,One Tree Hill,6
Yunnan,Orange Grove,11
Pasir Ris Central,Changi Point,28
Yuhua West,Dairy Farm,8
Serangoon North Ind Estate,City Terminals,1
Sembawang Hills,Yio Chu Kang West,7
Jurong West Central,Admiralty,6
Orange Grove,Khatib,3
Holland Drive,Northland,9
Raffles Place,Clarke Quay,12
Sunset Way,Bras Basah,4
Shipyard,Aljunied,7
Lorong Ah Soo,Marina Centre,31
Balestier,Mountbatten,33
Keat Hong,Port,22
Bukit Batok West,Gali Batu,24
Ghim Moh,Lavender,14
Peng Siang,Pandan,16
Pasir Ris Wafer Fab Park,Fernvale,10
Ghim Moh,Mackenzie,5
Hong Kah North,Kampong Bugis,1
Paya Lebar East,Kim Keat,2
Central Subzone,Dairy Farm,11
Marina East,Tiong Bahru,1
Toh Tuck,Seletar Hills,4
Cairnhill,Trafalgar,16
Mackenzie,Kampong Bugis,7
Tai Seng,Sengkang Town Centre,43
Tuas View Extension,Balestier,11
Kampong Java,Frankel,32
Boon Lay Place,Margaret Drive,14
Shangri-La,Holland Road,8
Toa Payoh West,Hougang West,10
Xilin,Western Water Catchment,17
Fort Canning,Choa Chu Kang Central,26
Kebun Bahru,Mackenzie,12
Teban Gardens,Tanjong Pagar,14
Swiss Club,Alexandra Hill,19
Ang Mo Kio Town Centre,Compassvale,20
North Coast,Tanglin,19
Bendemeer,Alexandra North,7
Nee Soon,Punggol Town Centre,6
Central Water Catchment,Dhoby Ghaut,11
Woodleigh,Braddell,22
Seletar Hills,City Hall,11
Clementi North,Tampines West,21
Fajar,Upper Thomson,12
Toh Guan,Sembawang Central,28
Lorong Chuan,Yio Chu Kang,26
Woodlands South,Tuas View,15
Serangoon North Ind Estate,Siglap,2
Henderson Hill,Sentosa,15
Redhill,Shangri-La,5
Saujana,Central Water Catchment,27
Woodgrove,Tampines West,48
Jurong West Central,Mei Chin,27
Yishun South,Gali Batu,18
Sentosa,Yuhua West,21
Toa Payoh Central,Monk's Hill,4
Kebun Bahru,One Tree Hill,2
Lavender,Pasir Ris Park,8
Boon Lay Place,Midview,13
Yio Chu Kang North,Tuas Bay,3
Flora Drive,Ulu Pandan,4
Cecil,Robertson Quay,16
Choa Chu Kang North,Nassim,28
Yuhua East,Tiong Bahru,4
Choa Chu Kang North,Fort Canning,11
Springleaf,Victoria,3
Peng Siang,Senoko North,11
Fort Canning,Choa Chu Kang North,12
Northland,Tampines North,17
Simei,Sembawang Springs,7
Bayshore,Yishun West,10
Pearl's Hill,Choa Chu Kang North,18
Chin Bee,Teck Whye,11
Serangoon Central,Yio Chu Kang East,40
Kaki Bukit,Bukit Batok West,19
Phillip,Tyersall,10
Compassvale,Gul Circle,7
Cheng San,Kampong Bugis,6
Bangkit,Gul Circle,10
Tuas North,Guilin,25
Hillview,Tampines East,18
Gombak,Yio Chu Kang East,5
Crawford,Clarke Quay,7
Nassim,Waterway East,8
Lorong Chuan,Toa Payoh West,11
Nature Reserve,Changi Airport,14
Rivervale,Newton Circus,11
Hougang West,Maxwell,5
Gali Batu,Kranji,26
Pearl's Hill,Kebun Bahru,23
Geylang Bahru,One Tree Hill,9
Tai Seng,Telok Blangah Rise,4
Ghim Moh,Lorong Ah Soo,3
Kangkar,Yishun West,14
Tai Seng,Leonie Hill,3
Teck Whye,Braddell,3
Pasir Ris Drive,Bayfront Subzone,22
Choa Chu Kang Central,Pasir Panjang 1,8
Defu Industrial Park,Swiss Club,3
Ghim Moh,One Tree Hill,3
Tanglin Halt,Rochor Canal,6
Kampong Glam,Taman Jurong,1
Sennett,Tanglin,4
Marina South,Central Subzone,26
Bukit Merah,Braddell,12
Tuas View,Northland,19
Matilda,Flora Drive,3
Simei,Joo Koon,10
Bukit Batok West,Mackenzie,8
Sembawang Springs,Townsville,6
Telok Blangah Drive,Northshore,2
Nature Reserve,Mackenzie,11
Dunearn,Kaki Bukit,6
Clementi Woods,Jurong River,7
Yuhua West,Sengkang Town Centre,12
Hong Kah North,Sembawang Straits,2
Yunnan,Serangoon Garden,16
Defu Industrial Park,Brickworks,1
Alexandra Hill,Pang Sua,1
Phillip,Sembawang North,1
Mount Emily,Tiong Bahru,3
Sembawang Central,Kim Keat,3
Yuhua West,Leonie Hill,3
Swiss Club,Upper Paya Lebar,5
Northland,Pasir Panjang 2,11
Yishun Central,Chinatown,4
Henderson Hill,Waterway East,1
Punggol Field,Sembawang Central,11
Senoko South,Teban Gardens,10
Boon Lay Place,Seletar Aerospace Park,8
Little India,Plab,3
Marina South,Mountbatten,21
Ulu Pandan,Bedok South,5
Telok Blangah Way,Pasir Panjang 1,6
Fajar,Mandai Estate,1
Boon Keng,Yew Tee,9
Pasir Panjang 1,Geylang Bahru,8
Chatsworth,Tai Seng,5
Dhoby Ghaut,Geylang Bahru,9
Khatib,Tiong Bahru Station,8
Hong Kah,Tanjong Rhu,9
Chatsworth,Saujana,5
Choa Chu Kang North,Serangoon North,9
Ridout,Townsville,3
Mount Pleasant,Tuas View Extension,2
Yio Chu Kang,Kim Keat,6
Changi West,Anchorvale,16
Tanglin,Serangoon Garden,7
Jurong Island and Bukom,Yio Chu Kang East,1
Admiralty,Joo Koon,6
Pearl's Hill,Chatsworth,20
Bencoolen,One Tree Hill,4
Boat Quay,Toh Tuck,6
Sembawang East,Punggol Field,2
Telok Blangah Rise,Hong Kah North,5
Anchorvale,Upper Paya Lebar,6
Paterson,Woodlands West,2
Pang Sua,Joo Koon,6
Pei Chun,Woodgrove,7
Lower Seletar,Sennett,5
Telok Blangah Way,Mountbatten,1
Farrer Court,Central Subzone,4
Jurong Island and Bukom,Boon Teck,2
Saujana,Malcolm,4
Marina Centre,Gali Batu,8
Selegie,Western Water Catchment,1
Reservoir View,Holland Drive,2
Tukang,Matilda,4
Lorong 8 Toa Payoh,Goodwood Park,6
Saujana,Pasir Ris Wafer Fab Park,1
Holland Road,Cairnhill,6
North Coast,Tengah,4
Tiong Bahru,Little India,6
Matilda,North-Eastern Islands,4
Tyersall,Wenya,4
Boon Teck,Jurong Island and Bukom,4
Fort Canning,Kebun Bahru,17
Yew Tee,Yuhua East,11
Tiong Bahru,Tengeh,2
Tuas View Extension,Pasir Ris Wafer Fab Park,1
International Business Park,Newton Circus,2
West Coast,Gul Basin,6
Tagore,Coronation Road,3
Dhoby Ghaut,Sengkang West,1
Hong Kah North,Seletar Aerospace Park,6
Tagore,Cairnhill,5
Tiong Bahru,Sunset Way,2
Farrer Court,Mountbatten,4
Liu Fang,Tampines West,7
Macpherson,Paya Lebar East,4
Bukit Batok Central,Marina South,4
Shangri-La,Bedok South,3
Gombak,Boon Teck,2
Yuhua East,West Coast,7
Greenwood Park,Tanjong Pagar,3
Fort Canning,Dunearn,6
Bugis,Lorong Halus,3
Tukang,Reservoir View,2
Pulau Punggol Timor,Boulevard,4
Tuas View Extension,Anson,3
Saujana,Yishun Central,2
Yew Tee,Plab,2
Joo Seng,Institution Hill,3
Yio Chu Kang North,Little India,6
Everton Park,Straits View,9
Trafalgar,Kim Keat,4
Simpang North,Woodlands East,1
Hillview,Flora Drive,1
Tuas View Extension,Malcolm,1
Yio Chu Kang North,Sunset Way,1
Anson,Yishun West,6
Bukit Batok West,Lorong Ah Soo,12
Clifford Pier,Cheng San,2
Tai Seng,Dairy Farm,5
Hougang East,Katong,4
Sembawang East,Singapore General Hospital,1
Shipyard,Raffles Place,2
Serangoon Central,Kent Ridge,9
Clementi West,Sembawang East,2
Tukang,Ulu Pandan,1
Turf Club,Springleaf,4
Holland Road,Senoko West,5
Defu Industrial Park,Yunnan,5
Lower Seletar,Pang Sua,7
Nee Soon,Bras Basah,3
Gali Batu,Kebun Bahru,2
Mei Chin,Bukit Batok East,3
Sembawang Straits,Bukit Batok Central,2
Malcolm,Victoria,5
Sembawang North,Changi Bay,2
Pasir Ris Central,Liu Fang,3
Queensway,Peng Siang,3
Lakeside,Tagore,2
Wenya,Rochor Canal,1
Coronation Road,Tuas View,1
Tuas View Extension,Yishun Central,2
Kangkar,Loyang East,1
Lorong Chuan,Seletar,1
Yio Chu Kang North,Tengeh,1
Monk's Hill,Ang Mo Kio Town Centre,1
Kim Keat,Maxwell,2
Clarke Quay,Tuas North,3
Brickworks,Kallang Way,3
Tiong Bahru Station,Upper Paya Lebar,5
Mackenzie,Sembawang Straits,1
Straits View,Clementi Woods,2
Tampines North,Phillip,2
Hillcrest,City Terminals,3
Ridout,Port,3
Sengkang West,Tuas View Extension,2
Kampong Bugis,Jurong Island and Bukom,1
Maxwell,Clarke Quay,1
Katong,Kian Teck,2
Mei Chin,Brickworks,1
Nee Soon,Boon Keng,1
Pei Chun,Kampong Tiong Bahru,1
Pearl's Hill,Dunearn,3
Sembawang North,Tanglin Halt,2
Alexandra North,Lavender,2
Shipyard,Paya Lebar North,1
Keat Hong,Leedon Park,1
Changi Bay,Sembawang North,1
Kangkar,Turf Club,1
Turf Club,Telok Blangah Way,1
Bayshore,Turf Club,1
Bras Basah,Straits View,2
Boat Quay,Senoko North,1
Yew Tee,People's Park,1
Holland Road,Shipyard,1
Kovan,Tuas Bay,1
Flora Drive,Reservoir View,1
Northshore,Lorong Chuan,1
Gul Circle,Yew Tee,30
Midview,Sembawang Central,91
Cheng San,Hougang Central,34
Nature Reserve,Holland Road,72
Hong Kah North,Woodgrove,48
Lorong Halus,Everton Park,8
Hougang Central,Bayfront Subzone,31
Tampines East,Frankel,306
Trafalgar,Pearl's Hill,57
Tuas North,Boon Lay Place,88
Hillcrest,Mount Pleasant,21
Kian Teck,Sengkang Town Centre,16
Yishun East,China Square,11
Leedon Park,Boat Quay,8
Bedok Reservoir,Everton Park,4
Western Water Catchment,Hong Kah North,133
Cairnhill,Khatib,8
Clarke Quay,Jurong West Central,37
Tuas View Extension,Pioneer Sector,51
Raffles Place,Dhoby Ghaut,178
Farrer Park,Bukit Batok Central,27
Woodlands East,Woodlands Regional Centre,491
Sembawang Hills,Moulmein,9
Pang Sua,Peng Siang,13
Kallang Bahru,Senja,11
Tiong Bahru Station,Hong Kah,29
Holland Road,Gali Batu,19
Anson,Aljunied,41
Bedok South,Kaki Bukit,132
Teck Whye,Jurong River,17
Ghim Moh,Bedok South,15
Bugis,Yishun South,25
Serangoon Garden,Anak Bukit,82
Bayfront Subzone,Redhill,13
Geylang East,Waterway East,57
Kallang Way,Pei Chun,13
Seletar Hills,Oxley,4
Northland,Simei,33
Geylang Bahru,Crawford,26
Benoi Sector,Peng Siang,29
Bendemeer,Marymount,58
Moulmein,Anchorvale,23
Kampong Java,Holland Drive,20
Tampines East,Fernvale,160
Tengah,Tampines West,7
National University of S'pore,Pulau Punggol Timor,4
Maritime Square,Sembawang Central,49
Somerset,Choa Chu Kang North,17
Tuas View Extension,Kian Teck,69
Somerset,Kampong Java,40
Kallang Way,Woodlands East,60
Dhoby Ghaut,Taman Jurong,24
Toa Payoh Central,Little India,23
Somerset,Kranji,10
Bukit Batok West,Bedok South,10
Everton Park,Clementi West,18
Crawford,Dhoby Ghaut,20
Flora Drive,Yishun West,8
Ang Mo Kio Town Centre,Boon Keng,7
Yishun Central,Yio Chu Kang,21
Yuhua West,Clementi North,47
Woodgrove,Marina Centre,28
Choa Chu Kang Central,Pasir Panjang 2,10
Marina Centre,Bedok South,68
Tampines West,Bras Basah,23
Jurong River,Lakeside,71
Katong,Plab,3
Tengeh,Telok Blangah Drive,13
Tanglin,Hong Kah,10
Tukang,Yishun West,11
Boulevard,Springleaf,12
Pasir Ris Drive,Senoko South,18
Kebun Bahru,Sembawang East,2
Boon Lay Place,Pioneer Sector,35
Telok Blangah Way,Pasir Panjang 2,6
Ridout,Tampines West,12
Somerset,Dunearn,14
Woodlands South,Keat Hong,18
Hong Kah North,Boulevard,19
Yio Chu Kang,Pearl's Hill,23
Midview,Western Water Catchment,40
Fernvale,Serangoon North Ind Estate,87
Pasir Panjang 1,Taman Jurong,14
Tampines North,Serangoon Central,12
Clementi West,Tiong Bahru Station,17
Bayshore,Farrer Park,14
Commonwealth,Kaki Bukit,17
Tagore,Changi Airport,23
Malcolm,Bedok North,8
Upper Thomson,Loyang East,5
Bras Basah,Telok Blangah Drive,12
Tampines East,Hong Kah North,20
Safti,Tampines East,10
Bangkit,Dairy Farm,33
Yew Tee,Kallang Bahru,15
Moulmein,Chong Boon,36
Bedok North,Tai Seng,98
Penjuru Crescent,Yunnan,24
Woodlands West,Bukit Batok West,6
Cheng San,Woodgrove,28
Telok Blangah Drive,Yunnan,32
Redhill,Nassim,38
Chong Boon,Anak Bukit,25
Lorong Chuan,Benoi Sector,4
Phillip,Lower Seletar,4
Frankel,Clementi Central,13
Taman Jurong,Bayfront Subzone,29
Anchorvale,Hong Kah,11
City Hall,Mount Pleasant,16
Kangkar,Aljunied,55
Changi Airport,Senoko North,41
Kampong Java,Tyersall,30
Senoko West,Khatib,26
Lakeside,Changi West,2
Yio Chu Kang East,Sembawang Central,61
Little India,Kallang Bahru,39
Everton Park,Bukit Ho Swee,36
Bukit Batok West,Holland Road,16
Bedok North,Jurong Island and Bukom,20
Toh Guan,Joo Koon,32
Dover,Yunnan,18
Tampines West,Punggol Town Centre,24
Kebun Bahru,Holland Road,8
Tuas View,Saujana,10
Kembangan,Upper Paya Lebar,11
Fort Canning,Bugis,20
The Wharves,Seletar Hills,4
Compassvale,Sengkang Town Centre,28
Phillip,National University of S'pore,6
Simei,Peng Siang,13
Port,Anak Bukit,18
Ghim Moh,Holland Road,39
Newton Circus,Nassim,18
Yishun West,Braddell,47
Northland,Orange Grove,9
Tukang,Turf Club,4
Singapore Polytechnic,Cheng San,17
Yishun South,Farrer Park,30
Moulmein,Ridout,20
Boat Quay,Jurong Gateway,9
Goodwood Park,Swiss Club,10
West Coast,International Business Park,9
Tampines West,Boon Keng,24
Yio Chu Kang East,Western Water Catchment,7
Plab,Kallang Bahru,6
Sunset Way,Reservoir View,3
Somerset,Chatsworth,37
Cheng San,Boulevard,93
Joo Koon,Anak Bukit,17
Clarke Quay,Port,5
Boulevard,Pasir Ris Park,10
China Square,Yunnan,9
Sembawang Central,Pearl's Hill,40
Singapore General Hospital,Khatib,37
Northshore,Lorong Ah Soo,6
Lorong Ah Soo,Tuas Promenade,8
Changi Airport,Hillcrest,16
Tanglin,Bukit Merah,7
Paya Lebar North,Tai Seng,8
Kembangan,Serangoon Garden,29
Jelebu,Hillcrest,13
Tagore,Gali Batu,33
Guilin,Joo Seng,15
Changi Point,Bayshore,13
Bidadari,Fernvale,10
Upper Paya Lebar,Seletar Hills,8
Choa Chu Kang North,Tampines East,34
Anchorvale,Bukit Merah,14
East Coast,Pasir Ris West,5
City Terminals,Little India,6
Kampong Glam,Marina East,1
Bras Basah,Bukit Ho Swee,19
Tanglin Halt,Defu Industrial Park,2
Bras Basah,Clementi West,7
Pulau Punggol Barat,Kembangan,1
Swiss Club,Bukit Merah,8
Pei Chun,Clementi Woods,4
Kebun Bahru,Bedok South,19
Jurong River,Hougang West,10
North-Eastern Islands,Frankel,2
Bencoolen,Bedok South,22
City Terminals,Tengeh,8
Yishun Central,Singapore Polytechnic,6
Senoko West,Loyang West,4
Jurong West Central,Boat Quay,13
Springleaf,Mandai Estate,3
Bencoolen,Holland Road,15
Kallang Bahru,Sennett,18
Changi West,Katong,10
Tanjong Pagar,Yishun South,19
Bras Basah,Hillview,7
Nassim,Robertson Quay,16
Waterway East,Pasir Panjang 2,12
Western Water Catchment,Frankel,11
Chatsworth,Sembawang Central,8
Holland Road,Changi Airport,22
Mackenzie,Woodgrove,34
Maritime Square,Western Water Catchment,26
Chinatown,Robertson Quay,36
Telok Blangah Drive,Kampong Ubi,44
Telok Blangah Rise,Tukang,1
Joo Seng,Lorong Halus,8
Alexandra Hill,Pasir Ris Central,18
Bishan East,Mount Emily,2
Istana Negara,Choa Chu Kang Central,3
Serangoon North,Serangoon North Ind Estate,6
Dairy Farm,Farrer Park,9
Mackenzie,Boulevard,25
Sembawang Springs,Tampines West,7
Katong,Tiong Bahru,8
Somerset,Kebun Bahru,24
Pasir Panjang 2,Bendemeer,20
