,subzone,cases,normalize by sum,normalize by max,lon,lat,area,population,pop_density
146,Mackenzie,0,0.0,0.0,103.7326745,1.347333341,0.779902584,110,141.043256243
147,Macpherson,0,0.0,0.0,103.6947034,1.344953692,2.21698768,28630,12913.9193051
148,Malcolm,0,0.0,0.0,103.7921361,1.340232591,3.483838813,2630,754.914374967
149,Mandai East,0,0.0,0.0,103.9462666,1.372384858,1.518824347,0,0.0
150,Mandai Estate,0,0.0,0.0,103.9458053,1.322111119,3.01179668,2120,703.898777125
151,Mandai West,0,0.0,0.0,103.8125062,1.303766696,1.961297192,0,0.0
152,Margaret Drive,0,0.0,0.0,103.6347309,1.330013784,3.203502563,10520,3283.90559805
153,Marina Centre,0,0.0,0.0,103.8585462,1.331670021,0.371562101,20,53.8268029656
154,Marina East,0,0.0,0.0,103.7396755,1.339642619,0.929241802,0,0.0
155,Marina East (MP),0,0.0,0.0,103.8038293,1.463097616,2.252366964,0,0.0
156,Marina South,0,0.0,0.0,103.7622392,1.301387852,0.700871033,0,0.0
157,Marine Parade,0,0.0,0.0,103.8454086,1.299104611,0.22304524,28910,129614.960624
158,Maritime Square,0,0.0,0.0,103.8660512,1.333338762,0.642238227,2560,3986.05983322
159,Marymount,0,0.0,0.0,103.8543277,1.372880023,0.960355112,31540,32842.0181305
160,Matilda,0,0.0,0.0,103.9113981,1.394419359,1.385425353,30440,21971.5915651
161,Maxwell,0,0.0,0.0,103.8087308,1.299382774,1.031423997,0,0.0
162,Mei Chin,0,0.0,0.0,103.8522573,1.454547108,1.07963235,16750,15514.5406675
163,Midview,0,0.0,0.0,103.746883,1.362751294,0.863351217,35510,41130.4221281
164,Monk's Hill,0,0.0,0.0,103.9521287,1.340349058,2.792089656,980,350.991594376
165,Moulmein,0,0.0,0.0,103.8821032,1.361772657,1.958071648,8470,4325.68440928
166,Mount Emily,0,0.0,0.0,103.8497978,1.302381295,0.049866168,1110,22259.5808846
167,Mount Pleasant,0,0.0,0.0,103.8910188,1.302561549,1.721901834,650,377.489579932
168,Mountbatten,7,0.010057471,0.066666667,103.8709772,1.321754596,0.739059692,10210,13814.8516426
169,Nassim,0,0.0,0.0,103.8124191,1.314856617,2.168731186,8340,3845.56650167
170,National University of S'pore,0,0.0,0.0,103.8489464,1.278476188,0.197568524,360,1822.1526016
171,Nature Reserve,0,0.0,0.0,103.9270488,1.306670274,1.10313514,3870,3508.18304999
172,Nee Soon,0,0.0,0.0,103.8338578,1.313146988,0.352942389,900,2549.99123951
